"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","16.2",""
"Albania","2012","32.56",""
"Algeria","2012","26.62",""
"Angola","2012","16.18",""
"Antigua and Barbuda","2012","30.26",""
"Argentina","2012","30.83",""
"Armenia","2012","32.3",""
"Australia","2012","37.08",""
"Austria","2012","42.4",""
"Azerbaijan","2012","29.34",""
"Bahamas","2012","31.54",""
"Bahrain","2012","30.07",""
"Bangladesh","2012","24.7",""
"Barbados","2012","36.68",""
"Belarus","2012","39.15",""
"Belgium","2012","41.41",""
"Belize","2012","22.69",""
"Benin","2012","18.3",""
"Bhutan","2012","25.29",""
"Bolivia (Plurinational State of)","2012","22.14",""
"Bosnia and Herzegovina","2012","39.23",""
"Botswana","2012","22.33",""
"Brazil","2012","29.89",""
"Brunei Darussalam","2012","30.14",""
"Bulgaria","2012","42.84",""
"Burkina Faso","2012","17.01",""
"Burundi","2012","17.64",""
"Cabo Verde","2012","23.71",""
"Cambodia","2012","24.1",""
"Cameroon","2012","18.18",""
"Canada","2012","39.99",""
"Central African Republic","2012","19.59",""
"Chad","2012","15.7",""
"Chile","2012","32.76",""
"China","2012","35.12",""
"Colombia","2012","27.4",""
"Comoros","2012","19.08",""
"Congo","2012","18.81",""
"Costa Rica","2012","29.29",""
"Côte d’Ivoire","2012","18.96",""
"Croatia","2012","42.38",""
"Cuba","2012","39.57",""
"Cyprus","2012","34.88",""
"Czech Republic","2012","40.07",""
"Democratic People's Republic of Korea","2012","33.4",""
"Democratic Republic of the Congo","2012","17.27",""
"Denmark","2012","40.95",""
"Djibouti","2012","22.55",""
"Dominican Republic","2012","25.53",""
"Ecuador","2012","25.83",""
"Egypt","2012","24.93",""
"El Salvador","2012","23.78",""
"Equatorial Guinea","2012","20.49",""
"Eritrea","2012","18.37",""
"Estonia","2012","40.78",""
"Ethiopia","2012","17.93",""
"Fiji","2012","26.88",""
"Finland","2012","42.24",""
"France","2012","40.43",""
"Gabon","2012","20.66",""
"Gambia","2012","16.95",""
"Georgia","2012","37.43",""
"Germany","2012","45.09",""
"Ghana","2012","20.45",""
"Greece","2012","42.47",""
"Grenada","2012","25.89",""
"Guatemala","2012","19.19",""
"Guinea","2012","18.53",""
"Guinea-Bissau","2012","18.97",""
"Guyana","2012","22.36",""
"Haiti","2012","21.99",""
"Honduras","2012","21.57",""
"Hungary","2012","40.35",""
"Iceland","2012","35.3",""
"India","2012","26.07",""
"Indonesia","2012","27.47",""
"Iran (Islamic Republic of)","2012","27.99",""
"Iraq","2012","19.5",""
"Ireland","2012","34.94",""
"Israel","2012","30.1",""
"Italy","2012","43.99",""
"Jamaica","2012","27.5",""
"Japan","2012","45.53",""
"Jordan","2012","23.06",""
"Kazakhstan","2012","29.2",""
"Kenya","2012","18.72",""
"Kiribati","2012","23.15",""
"Kuwait","2012","28.95",""
"Kyrgyzstan","2012","24.34",""
"Lao People's Democratic Republic","2012","21.02",""
"Latvia","2012","41.44",""
"Lebanon","2012","29.4",""
"Lesotho","2012","20.53",""
"Liberia","2012","18.43",""
"Libya","2012","26.25",""
"Lithuania","2012","39.09",""
"Luxembourg","2012","39",""
"Madagascar","2012","18.3",""
"Malawi","2012","17.06",""
"Malaysia","2012","26.99",""
"Maldives","2012","24.53",""
"Mali","2012","16.39",""
"Malta","2012","40.65",""
"Mauritania","2012","19.71",""
"Mauritius","2012","34.18",""
"Mexico","2012","26.64",""
"Micronesia (Federated States of)","2012","20.73",""
"Mongolia","2012","26.4",""
"Montenegro","2012","36.82",""
"Morocco","2012","26.7",""
"Mozambique","2012","17.26",""
"Myanmar","2012","28.62",""
"Namibia","2012","20.94",""
"Nepal","2012","22.02",""
"Netherlands","2012","41.47",""
"New Zealand","2012","36.85",""
"Nicaragua","2012","22.74",""
"Niger","2012","15.04",""
"Nigeria","2012","17.84",""
"Norway","2012","38.88",""
"Oman","2012","25.88",""
"Pakistan","2012","22.23",""
"Panama","2012","27.64",""
"Papua New Guinea","2012","20.72",""
"Paraguay","2012","23.59",""
"Peru","2012","26.16",""
"Philippines","2012","22.74",""
"Poland","2012","38.55",""
"Portugal","2012","41.81",""
"Qatar","2012","31.64",""
"Republic of Korea","2012","38.85",""
"Republic of Moldova","2012","35.61",""
"Romania","2012","39.09",""
"Russian Federation","2012","38.22",""
"Rwanda","2012","18.05",""
"Saint Lucia","2012","30.17",""
"Saint Vincent and the Grenadines","2012","28.64",""
"Samoa","2012","20.95",""
"Sao Tome and Principe","2012","19.13",""
"Saudi Arabia","2012","27.03",""
"Senegal","2012","18.01",""
"Serbia","2012","38.38",""
"Seychelles","2012","32.26",""
"Sierra Leone","2012","18.98",""
"Singapore","2012","37.88",""
"Slovakia","2012","37.87",""
"Slovenia","2012","42.1",""
"Solomon Islands","2012","19.62",""
"Somalia","2012","16.25",""
"South Africa","2012","25.7",""
"South Sudan","2012","18.52",""
"Spain","2012","40.99",""
"Sri Lanka","2012","31.12",""
"Sudan","2012","19.02",""
"Suriname","2012","28.18",""
"Swaziland","2012","19.82",""
"Sweden","2012","40.91",""
"Switzerland","2012","41.85",""
"Syrian Arab Republic","2012","22.21",""
"Tajikistan","2012","21.54",""
"Thailand","2012","36.42",""
"The former Yugoslav Republic of Macedonia","2012","36.79",""
"Timor-Leste","2012","16.4",""
"Togo","2012","18.82",""
"Tonga","2012","21.28",""
"Trinidad and Tobago","2012","32.84",""
"Tunisia","2012","29.89",""
"Turkey","2012","29.04",""
"Turkmenistan","2012","25.26",""
"Uganda","2012","15.68",""
"Ukraine","2012","39.62",""
"United Arab Emirates","2012","29.37",""
"United Kingdom","2012","40.07",""
"United Republic of Tanzania","2012","17.49",""
"United States of America","2012","37.3",""
"Uruguay","2012","34.16",""
"Uzbekistan","2012","24.88",""
"Vanuatu","2012","21.56",""
"Venezuela (Bolivarian Republic of)","2012","26.73",""
"Viet Nam","2012","29.41",""
"Yemen","2012","18.78",""
"Zambia","2012","16.54",""
"Zimbabwe","2012","19.18",""

